model,precision,resolution,hardware,fps,latency_ms,size_mb,map50,A_norm,F_norm,S_norm,utility,feasible,constraint_violation,pareto_optimal
YOLOv8n,FP16,320,GPU1,51.4656,19.430454517192064,6.08,0.520139,0.10700126716414608,0.6909179268745891,0.028803161068940417,0.25501537943066166,False,0.129861,False
YOLOv8m,INT8 Static,320,CPU1,8.2609,121.05218559721096,25.22,0.633234,0.5260361475245836,0.1027796041660711,0.22782572527815326,0.2482868099564825,False,0.2272878559721097,False
YOLOv8m,INT8 Dynamic,640,CPU1,3.6132,276.7629801837706,99.0,0.723569,0.8607416244896146,0.039511244879873564,0.9950088385151294,0.24322241800574346,False,2.747629801837706,False
YOLOv8m,INT8 Dynamic,320,CPU2,30.747,32.52349822746935,98.88,0.660906,0.6285652885947817,0.40887910580029163,0.9937610481439118,0.23819416640869595,False,0.9775999999999999,False
YOLOv8s,INT8 Static,320,CPU2,29.5353,33.85779050830701,11.02,0.564358,0.27083966297879924,0.3923844372659444,0.08017053135073307,0.23710105639903634,False,0.085642,False
YOLOv8m,FP32,640,CPU1,1.9216,520.3996669442132,99.0,0.723569,0.8607416244896146,0.016483778268747255,0.9950088385151294,0.23631417802240556,False,5.183996669442132,False
YOLOv8m,FP32,320,CPU2,29.9098,33.433857799116005,98.88,0.660906,0.6285652885947817,0.39748244284992806,0.9937610481439118,0.23477516752358685,False,0.9775999999999999,False
YOLOv8m,INT8 Dynamic,320,GPU1,29.7171,33.65065904815746,98.88,0.660919,0.6286134556529602,0.39485925012353645,0.9937610481439118,0.2340122932347587,False,0.9775999999999999,False
YOLOv8m,FP32,320,GPU1,28.9642,34.525379606548775,98.88,0.660919,0.6286134556529602,0.3846101489107693,0.9937610481439118,0.23093756287092854,False,0.9775999999999999,False
YOLOv8n,INT8 Static,320,GPU1,52.0796,19.201376354657103,3.31,0.49126,0.0,0.6992762057225623,0.0,0.2097828617167687,False,0.15874000000000005,False
YOLOv8n,INT8 Static,320,CPU2,48.3574,20.679358278153916,3.31,0.49791,0.024639302837410407,0.6486065224523244,0.0,0.2069016081544025,False,0.15209,False
YOLOv8s,INT8 Dynamic,320,CPU1,12.2797,81.43521421533099,42.67,0.614228,0.4556159084677689,0.15748685340749605,0.4092752417593844,0.19319896190425634,False,0.035772000000000026,False
YOLOv8m,INT8 Dynamic,320,CPU1,12.7941,78.16102734854347,98.88,0.660906,0.6285652885947817,0.16448929418827365,0.9937610481439118,0.16487722292509055,False,0.9775999999999999,False
YOLOv8s,INT8 Static,320,CPU1,8.5828,116.51209395535255,11.02,0.564415,0.2710508570031198,0.10716157478685709,0.08017053135073307,0.1516397946674704,False,0.2507059395535256,False
YOLOv8m,FP32,320,CPU1,2.8104,355.8212354113293,98.88,0.660944,0.6287060846109954,0.028582863350308536,0.9937610481439118,0.12417569168180792,False,3.535812354113293,False
YOLOv8n,INT8 Static,320,CPU1,16.1451,61.9382970684604,3.31,0.497935,0.024731931795445774,0.21010589422012768,0.0,0.0753977341637612,False,0.152065,False
